! 12C range in H8C8
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - Range straggling - method [0] - LISE	Energy (MeV/u)7	6 - Range straggling - method [1] - Atima	Energy (MeV/u)8	7 - Lateral range - method [0] - LISE	Energy (MeV/u)9	8 - Lateral range - method [1] - Atima	Energy (MeV/u)10	9 - Lateral range - method [2] - PDG	
130.000000	38982.9   	130.000000	39096.9   	130.000000	39179     	130.000000	39245.8   	130.000000	39338.3   	130.000000	236.138   	130.000000	111.519   	130.000000	250.567   	130.000000	231.423   	130.000000	254.529   	
135.000000	41654.8   	135.000000	41780     	135.000000	41866.6   	135.000000	41942.3   	135.000000	42036.5   	135.000000	251.918   	135.000000	118.75    	135.000000	267.5     	135.000000	246.661   	135.000000	272.129   	
140.000000	44398.8   	140.000000	44534.1   	140.000000	44625.7   	140.000000	44710.8   	140.000000	44806.5   	140.000000	268.06    	140.000000	126.148   	140.000000	284.854   	140.000000	262.267   	140.000000	290.206   	
145.000000	47213.7   	145.000000	47357.9   	145.000000	47455.1   	145.000000	47550     	145.000000	47646.9   	145.000000	284.554   	145.000000	133.705   	145.000000	302.62    	145.000000	278.235   	145.000000	308.751   	
150.000000	50098.4   	150.000000	50250.3   	150.000000	50353.5   	150.000000	50458.6   	150.000000	50556.6   	150.000000	301.389   	150.000000	141.415   	150.000000	320.789   	150.000000	294.556   	150.000000	327.756   	
155.000000	53062     	155.000000	53209.9   	155.000000	53319.7   	155.000000	53435.5   	155.000000	53534.3   	155.000000	318.554   	155.000000	149.278   	155.000000	339.35    	155.000000	311.224   	155.000000	347.213   	
160.000000	56090.4   	160.000000	56235.7   	160.000000	56352.5   	160.000000	56479.5   	160.000000	56578.8   	160.000000	336.041   	160.000000	157.288   	160.000000	358.296   	160.000000	328.231   	160.000000	367.114   	
165.000000	59181.9   	165.000000	59326.3   	165.000000	59450.9   	165.000000	59589.4   	165.000000	59689     	165.000000	353.839   	165.000000	165.444   	165.000000	377.618   	165.000000	345.571   	165.000000	387.452   	
170.000000	62335.5   	170.000000	62480.8   	170.000000	62613.6   	170.000000	62764.2   	170.000000	62863.9   	170.000000	371.939   	170.000000	173.742   	170.000000	397.306   	170.000000	363.238   	170.000000	408.22    	
175.000000	65550.2   	175.000000	65698     	175.000000	65839.7   	175.000000	66002.7   	175.000000	66102.3   	175.000000	390.333   	175.000000	182.18    	175.000000	417.353   	175.000000	381.225   	175.000000	429.409   	
